,hhmem_size_1,hhmem_age_1,hhmem_married_1,hhmem_age_2,hh_relate_3,hhmem_age_3,hhmem_age_4,hhmem_age_5,illness_5,hhmem_age_6,illness_6,hhmem_age_7,childu18_num,child5_17_num,adultm_num,adultf_num,econstatus,yrs_grow,cocoa_wgt,fert_buy,fert_cost,fert_lqd_cost,herbicide_buy_cnt,pesticide_buy_cnt,pesticide_cost,farm_a_1,farm_yracquired_1,farm_rights_1,farm_time_1,farm_km_1,farm_reserve_1,cocoa_years_1,cocoa_lndamnt_1,cocoa_variety_1,cocoa_ages_0_5_1,cocoa_ages_6_10_1,cocoa_ages_11_19_1,cocoa_ages_20_30_1,shadetree_num_1,shadetree_calc_1_1,shadetree_label_1_1,shade_tree_tot_1_1,shade_natural_1_1,shade_planted_1_1,shadetree_calc_1_2,shadetree_label_1_2,shade_tree_tot_1_2,shade_planted_1_2,shadetree_label_1_3,shadetree_tot2_1,pesticide_app_1,pesticide_num_app_1,pesticide_area_app_1,labor_hh_1,fam_worker_prep_1_1,disease_1,disease_year_1_1,disease_location_1_1,pest_1,doc_land_cocoa_yr_1,farm_a_2,farm_yracquired_2,farm_time_2,farm_km_2,farm_reserve_2,shadetree_tot2_2,noncocoa_affecthow,noncocoa_pay,days_random_a,random_c_options,income_source,fwildlifedied_1,ffladder_elders_1,ffladder_lmb_1,ffladder_frstdpt_1,rules_violate_1,likelihood_help3,trust_nbr,trust_lmb,trust_ca,chickens,sleeprooms,toilet,today,cocoa_price_kg,farm_a_1_acres,farm_a_2_acres,cocoa_produce
335,21,43,3,27,7,19,18,8,1,4,1,32,8,4,4,2,4,5,31,0,11,36,33,47,40,14,27,10,16,39,33,25,15,18,0,0,28,8,1,19,15,1,0,2,30,0,45,43,0,15,15,48,57,1,49,1,0,5,31,52,20,21,16,36,38,14,0,7,3,2,7,48,6,5,2,0,5,3,3,2,50,13,9,26,54,52,31,75
336,22,45,1,59,6,59,42,9,1,10,1,7,8,5,3,5,5,5,1,0,31,23,33,24,33,85,24,1,35,45,53,28,8,21,0,0,0,8,14,1,23,16,13,0,2,22,1,2,16,17,15,48,57,1,49,1,0,5,32,52,49,54,44,51,51,20,0,2,1,4,7,52,10,10,5,25,0,3,0,3,50,9,5,26,44,36,50,286
337,2,48,1,43,6,38,15,8,1,7,1,46,10,7,5,3,6,3,31,0,38,3,33,24,3,14,40,2,1,43,47,10,15,17,0,0,3,0,11,19,15,33,22,25,21,6,42,40,8,14,3,31,5,39,0,2,2,3,25,52,49,54,44,51,51,20,55,0,0,0,7,66,9,1,5,0,3,1,2,2,50,10,2,10,54,52,50,264
338,17,36,5,44,7,78,7,58,0,55,0,50,6,4,3,1,2,5,12,0,49,49,33,47,40,24,34,10,12,43,10,17,24,21,0,0,14,30,10,19,15,1,0,2,29,5,1,2,0,18,15,48,57,46,21,3,3,0,50,52,20,42,43,46,4,17,56,2,0,0,7,49,0,0,1,5,3,2,4,4,50,13,1,11,8,47,31,302
339,19,42,5,30,7,73,53,1,18,53,55,50,7,4,1,2,2,3,19,0,49,49,33,47,40,24,39,1,1,45,27,12,62,21,0,0,0,2,10,19,15,17,2,2,29,5,34,32,0,11,15,48,57,1,0,2,3,1,35,52,49,54,44,51,51,20,40,3,0,0,54,51,0,0,1,5,3,4,4,4,17,14,9,10,50,47,50,184
340,16,35,4,8,14,4,71,58,0,55,0,50,6,4,1,1,5,5,12,0,49,49,33,34,3,53,34,10,22,26,53,17,34,21,26,0,0,42,11,18,18,26,17,0,19,14,33,30,28,14,15,48,57,1,0,2,3,2,34,51,49,54,44,51,51,20,55,0,2,1,0,69,6,8,7,30,3,1,1,2,50,10,2,11,8,84,50,148
341,21,25,0,23,14,66,8,10,1,50,2,36,9,6,3,3,5,4,19,0,49,49,33,47,40,36,35,1,13,39,13,16,34,17,0,13,14,16,1,1,23,10,22,2,30,0,45,43,0,15,15,48,57,46,40,2,3,2,80,52,20,32,8,36,47,14,0,0,4,3,7,50,1,8,8,26,1,2,2,1,17,8,9,10,17,63,31,243
342,18,37,5,33,7,73,69,8,1,55,0,50,7,5,3,1,4,5,15,0,49,19,24,17,1,78,30,1,1,43,10,21,58,21,0,0,14,30,10,19,15,22,22,16,23,4,0,0,0,11,0,1,43,1,0,2,3,0,50,52,9,23,0,46,8,10,56,2,0,0,7,50,0,0,1,5,4,3,4,2,37,13,1,10,8,24,26,86
343,20,25,5,28,10,70,69,52,36,42,36,22,8,5,1,2,6,1,31,0,49,49,33,47,40,75,51,0,1,45,32,58,34,21,26,41,0,0,13,1,23,43,22,0,2,22,34,32,18,16,15,48,57,57,0,8,5,3,48,52,49,54,44,51,51,20,64,3,4,3,7,48,7,8,7,14,3,1,2,2,37,8,9,11,54,21,50,270
344,17,52,5,58,7,73,59,58,0,55,0,50,6,4,1,1,5,3,26,0,6,49,17,24,20,60,41,9,1,39,10,9,53,17,0,0,3,0,6,6,24,22,10,43,13,13,37,36,17,6,6,27,24,38,38,2,3,3,31,52,20,42,0,36,18,6,5,2,2,1,15,49,8,5,5,30,2,4,4,4,37,10,8,11,50,91,31,267
