hhmem_size,landuseha,yrs_grow,lead_vill,cocoa_produce_kg,cocoa_produce_main_kg,cocoa_produce_light_kg,cocoa_sell_kg,shade_why1,hhgroup_m18,hhgroup_f18,hhgroup_m17,hhgroup_f17,cocoa_price_kg,screen_sharecrop,region,district,vill,village,region.1,community_type,ethnicity,religion,hhgroup_m18.1,hhgroup_f18.1,hhgroup_m17.1,hhgroup_f17.1,femhead,econstatus,cocoa_variety_1,cocoa_variety_2,cocoa_variety_3,cocoa_variety_4,cocoa_variety_5,farm_rights_1,farm_rights_2,farm_rights_3,farm_rights_4,farm_rights_5,farm_tenure_1,farm_tenure_2,farm_tenure_3,farm_tenure_4,farm_tenure_5,noncocoa_whyno_1,noncocoa_whyno_2,noncocoa_whyno_3,noncocoa_whyno_4,noncocoa_whyno_5,farm_swamp_1,farm_swamp_2,farm_swamp_3,farm_swamp_4,farm_swamp_5,shadetree_num_1,used_fert?,used_fert_lqd?,herbicide_yn,pesticide_yn,fungicide_yn,weeding_yn,pruning_yn,cocoa_intercrop,farm_rights,disease_loss,pest_loss,replant,shadetree_yn,doc_land,noncocoa,cocoa_yn,any_farm_above_1_21,hh_head_age,hh_head_education,hh_head_birthplace,cocoa_yield_ha,cocoa_ages_0_5_weighted,cocoa_ages_6_10_weighted,cocoa_ages_11_19_weighted,cocoa_ages_20_30_weighted,cocoa_ages_31_weighted,age_weighted_total
4,4.5,6,13,320.0,240.0,80.0,240.0,2.0,,,,,950.0,0,5,51,51002,Akoikro,5,COMPARISON,4,1.0,,,,,0,5,5,,,,,10.0,10.0,,,,1,1.0,,,,,,,,,0.0,0.0,,,,3,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,60.0,1.0,1.0,71.11111111111111,0.0,0.0,0.0,100.0,0.0,100.0
7,13.0,3,0,400.0,240.0,160.0,240.0,1.0,,,,,12.5,0,5,53,53004,N'Djorekro,5,COMPARISON,0,2.0,,,,,0,1,5,,,,,1.0,,,,,1,,,,,,,,,,0.0,,,,,2,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,37.0,,1.0,30.76923076923077,10.0,60.0,30.0,0.0,0.0,100.0
11,0.0,3,0,600.0,500.0,100.0,,97.0,,,,,,0,4,41,41008,DAHIOKE,4,COMPARISON,4,1.0,,,,,0,1,5,5,,,,1.0,1.0,1.0,1.0,,1,1.0,1.0,1.0,,1,97,9 97,97,,0.0,0.0,0.0,0.0,,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,59.0,,1.0,,0.0,0.0,100.0,0.0,0.0,100.0
10,8.0,6,0,3500.0,3000.0,500.0,,1.0,,,,,,0,7,73,73003,Affery,7,COMPARISON,4,3.0,,,,,0,7,5,5,,,,1.0,,,,,1,1.0,,,,,,,,,0.0,0.0,,,,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,64.0,2.0,0.0,437.5,0.0,55.00000000000001,30.0,15.0,0.0,100.0
4,3.5,3,0,105.0,70.0,35.0,70.0,1.0,,,,,800.0,1,5,51,51002,Akoikro,5,COMPARISON,4,1.0,,,,,1,1,5,,,,,10.0,,,,,1,,,,,,,,,,0.0,,,,,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,65.0,,1.0,30.0,30.0,0.0,70.0,0.0,0.0,100.0
5,3.5,6,13,175.0,120.0,55.0,,1.0,,,,,,0,4,41,41009,DONIE,4,COMPARISON,2,4.0,,,,,0,3,97,,,,,10.0,10.0,10.0,,,1,1.0,1.0,,,6,,,,,2.0,0.0,0.0,,,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,61.0,3.0,1.0,50.0,5.0,3.0,0.0,0.0,92.0,100.0
4,3.0,6,0,551.0,500.0,51.0,,1.0,,,,,,0,7,73,73004,Agbaou,7,COMPARISON,4,1.0,,,,,0,5,5,,,,,,,,,,1,,,,,,,,,,0.0,,,,,2,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,58.0,4.0,1.0,183.66666666666663,0.0,0.0,75.0,25.0,0.0,100.0
10,3.0,4,0,400.0,280.0,120.0,280.0,,,,,,10.0,0,6,62,62001,Tioumoukro,6,COMPARISON,4,3.0,,,,,0,2,2,,,,,1.0,,,,,1,,,,,,,,,,2.0,,,,,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,70.0,,0.0,133.33333333333334,0.0,0.0,70.0,30.0,0.0,100.0
7,13.5,3,0,1300.0,1000.0,300.0,1000.0,2.0,,,,,1000.0,0,4,41,41003,GBAROU,4,COMPARISON,4,2.0,,,,,0,3,2,,,,,97.0,97.0,97.0,,97.0,4,4.0,4.0,4.0,4.0,,97,97,97,97,0.0,0.0,0.0,0.0,0.0,5,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,44.0,,0.0,96.29629629629628,0.0,0.0,100.0,0.0,0.0,100.0
6,5.0,5,0,95.0,50.0,45.0,,3.0,,,,,,0,5,51,51018,Kouassi-Béniékro,5,RESTORE,4,1.0,,,,,0,5,5,,,,,10.0,,,,,1,,,,,,,,,,2.0,,,,,6,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,45.0,1.0,1.0,19.0,0.0,100.0,0.0,0.0,0.0,100.0
9,10.0,2,0,425.0,340.0,85.0,340.0,,,,,,900.0,0,7,75,75001,ASSE ORIé,7,COMPARISON,4,1.0,,,,,0,5,5,5,,,,8.0,8.0,8.0,,,1,1.0,1.0,,,11,11,97,,,0.0,0.0,0.0,,,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,57.0,1.0,1.0,42.5,85.0,15.0,0.0,0.0,0.0,100.0
2,10.0,2,12 13,280.0,160.0,120.0,160.0,1.0,,,,,900.0,0,5,51,51047,Bossematié,5,COMPARISON,4,1.0,,,,,0,9,5,5,,,,1.0,1.0,,,,1,1.0,,,,,,,,,0.0,0.0,,,,2,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,64.0,7.0,0.0,28.0,80.0,20.0,0.0,0.0,0.0,100.0
1,2.5,4,97,646.0,380.0,266.0,380.0,1.0,,,,,900.0,0,5,51,51003,Anuanua,5,COMPARISON,1,1.0,,,,,0,5,5,,,,,1.0,,,,,1,,,,,,,,,,0.0,,,,,3,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,44.0,3.0,1.0,258.4,15.0,25.0,60.0,0.0,0.0,100.0
3,5.0,5,0,375.0,225.0,150.0,225.0,1.0,,,,,850.0,1,5,51,51020,Améakro,5,RESTORE,4,1.0,,,,,0,1,5,,,,,10.0,,,,,1,2.0,,,,,97,,,,0.0,0.0,,,,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,56.0,,0.0,75.0,30.0,0.0,0.0,70.0,0.0,100.0
9,10.0,3,0,4500.0,3000.0,1500.0,,,,,,,,1,4,41,41014,SEH,4,COMPARISON,0,1.0,,,,,0,7,5,,,,,8.0,,,,,4,,,,,11,,,,,0.0,,,,,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,42.0,,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,2,13,500.0,300.0,200.0,,1.0,,,,,,0,4,41,41016,TATE1,4,COMPARISON,2,1.0,,,,,0,3,5,,,,,1.0,1.0,,,,1,1.0,,,,,,,,,0.0,0.0,,,,2,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,54.0,1.0,1.0,125.0,0.0,100.0,0.0,0.0,0.0,100.0
11,2.0,2,0,350.0,350.0,0.0,,97.0,,,,,,0,7,71,71009,Yakassé-Mé,7,RESTORE,4,1.0,,,,,1,4,5 97,,,,,10.0,9.0,,,,1,1.0,,,,97,97,,,,0.0,0.0,,,,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,57.0,1.0,1.0,175.0,0.0,25.0,0.0,75.0,0.0,100.0
4,6.0,5,0,820.0,650.0,170.0,,1.0,,,,,,0,5,51,51009,Affalikro,5,COMPARISON,4,1.0,,,,,0,7,4 5,,,,,9.0,9.0,,,,1,1.0,,,,,,,,,0.0,0.0,,,,6,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,65.0,3.0,1.0,136.66666666666666,8.0,18.0,55.00000000000001,19.0,0.0,100.0
4,5.0,3,97,1620.0,1320.0,300.0,1320.0,2.0,,,,,1000.0,0,4,41,41003,GBAROU,4,COMPARISON,4,3.0,,,,,0,7,5,,,,,8.0,8.0,11.0,,,4,4.0,4.0,,,,,,,,0.0,0.0,0.0,,,4,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,52.0,5.0,0.0,324.0,0.0,0.0,100.0,0.0,0.0,100.0
5,5.0,4,0,280.0,210.0,70.0,210.0,,,,,,14.285714149475098,0,6,62,62001,Tioumoukro,6,COMPARISON,4,1.0,,,,,0,5,2,,,,,1.0,1.0,1.0,,,1,1.0,1.0,,,11,,97,,,0.0,0.0,0.0,,,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,46.0,,1.0,56.0,10.0,60.0,30.0,0.0,0.0,100.0
9,4.800000190734863,5,0,1360.0,1040.0,320.0,1040.0,,,,,,1000.0,0,4,41,41021,NIGRE,4,RESTORE,4,2.0,,,,,0,6,5,,,,,8.0,,,,,4,,,,,,,,,,0.0,,,,,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,58.0,,0.0,283.3333220746787,0.0,0.0,0.0,100.0,0.0,100.0
3,1.5,3,0,110.0,80.0,30.0,,1.0,,,,,,0,7,71,71005,Biasso,7,RESTORE,4,1.0,,,,,0,2,4 5 97,,,,,10.0,,,,,1,,,,,,,,,,0.0,,,,,3,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,35.0,4.0,1.0,73.33333333333333,0.0,0.0,100.0,0.0,0.0,100.0
8,25.5,3,6,2500.0,1500.0,1000.0,,97.0,,,,,,0,5,53,53001,Kokonou,5,COMPARISON,0,1.0,,,,,0,3,5,5,5,,,8.0,8.0,8.0,8.0,8.0,4,4.0,4.0,4.0,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,4,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,64.0,,1.0,98.03921568627452,0.0,0.0,100.0,0.0,0.0,100.0
4,2.0,5,0,45.0,30.0,15.0,,97.0,,,,,,0,4,41,41016,TATE1,4,COMPARISON,2,1.0,,,,,0,3,5,,,,,1.0,,,,,1,,,,,,,,,,0.0,,,,,3,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,55.0,,0.0,22.5,0.0,0.0,0.0,100.0,0.0,100.0
6,5.0,5,97,2000.0,1700.0,300.0,,1.0,,,,,,0,5,51,51008,Adjoumani-Kouassikro,5,COMPARISON,4,1.0,,,,,0,5,5 97,,,,,1.0,,,,,1,,,,,,,,,,0.0,,,,,3,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,43.0,,1.0,400.0,10.0,30.0,40.0,20.0,0.0,100.0
6,3.5,6,7,36.0,36.0,0.0,36.0,4.0,,,,,166.6666717529297,0,7,74,74002,Montézo,7,COMPARISON,4,1.0,,,,,0,5,5,,,,,9.0,10.0,9.0,,,1,2.0,1.0,,,,97,97,,,0.0,0.0,0.0,,,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,45.0,1.0,0.0,10.285714285714286,5.0,5.0,30.0,30.0,30.0,100.0
15,13.5,6,0,675.0,450.0,225.0,450.0,,4.0,7.0,5.0,2.0,850.0,1,7,71,71009,Yakassé-Mé,7,RESTORE,4,1.0,4.0,7.0,5.0,2.0,0,2,5 97,,,,,,,,,,2,1.0,,,,11,1,,,,3.0,3.0,,,,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,61.0,3.0,1.0,50.0,5.0,5.0,0.0,0.0,90.0,100.0
7,2.0,3,0,190.0,130.0,60.0,,1.0,,,,,,0,5,53,53001,Kokonou,5,COMPARISON,0,2.0,,,,,0,5,5,5,,,,3.0,3.0,,,,4,4.0,,,,,,,,,0.0,0.0,,,,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,45.0,,0.0,95.0,0.0,57.14285714285714,42.857142857142854,0.0,0.0,100.0
5,1.0,2,0,140.0,70.0,70.0,70.0,2.0,,,,,950.0,0,5,51,51054,Amian-Kouassikro,5,COMPARISON,4,1.0,,,,,0,5,5,,,,,10.0,,,,,1,,,,,,,,,,2.0,,,,,2,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,28.0,6.0,0.0,140.0,30.0,70.0,0.0,0.0,0.0,100.0
2,4.0,4,4 9,1100.0,800.0,300.0,800.0,3.0,,,,,1000.0,0,5,51,51011,N'Gouanda,5,COMPARISON,4,1.0,,,,,1,6,5,5,,,,10.0,10.0,,,,1,1.0,,,,5,5 11,,,,2.0,2.0,,,,5,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,67.0,,0.0,275.0,0.0,25.0,60.0,15.0,0.0,100.0
5,8.0,6,0,320.0,240.0,80.0,240.0,2.0,,,,,900.0,0,5,51,51005,Takima,5,COMPARISON,4,1.0,,,,,0,7,4 5,,,,,9.0,,,,,1,,,,,,,,,,2.0,,,,,12,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,60.0,3.0,0.0,40.0,10.0,5.0,8.0,77.0,0.0,100.0
8,5.0,2,13,135.0,85.0,50.0,,1.0,,,,,,0,6,64,64001,Alakro,6,COMPARISON,4,1.0,,,,,0,5,5,,,,,1.0,1.0,,,,1,1.0,,,,,,,,,0.0,0.0,,,,3,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,54.0,2.0,0.0,27.0,25.0,75.0,0.0,0.0,0.0,100.0
7,1.0,5,0,910.0,560.0,350.0,560.0,1.0,,,,,1000.0,0,5,51,51036,Ahuasso,5,RESTORE,4,1.0,,,,,1,5,5,,,,,,,,,,1,,,,,,,,,,2.0,,,,,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,42.0,1.0,1.0,910.0,0.0,0.0,40.0,60.0,0.0,100.0
4,2.75,6,0,427.0,427.0,0.0,,1.0,,,,,,0,7,71,71006,Nyan,7,RESTORE,4,3.0,,,,,0,5,5,,,,,1.0,,,,,1,1.0,,,,,,,,,2.0,0.0,,,,2,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,49.0,3.0,1.0,155.27272727272728,0.0,4.0,0.0,96.0,0.0,100.0
6,13.0,6,0,5320.0,3610.0,1710.0,3610.0,2.0,,,,,1000.0,0,4,41,41019,KARIE,4,RESTORE,0,1.0,,,,,0,4,5,5,,,,10.0,10.0,,,,4,4.0,,,,,,,,,0.0,0.0,,,,2,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,26.0,5.0,1.0,409.2307692307692,0.0,25.0,0.0,75.0,0.0,100.0
7,11.5,6,12 13,900.0,600.0,300.0,600.0,1.0,,,,,1000.0,0,5,51,51015,Bébou,5,COMPARISON,4,1.0,,,,,0,2,5,,,,,10.0,10.0,,,,1,1.0,,,,,97,,,,0.0,0.0,,,,5,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,78.0,5.0,1.0,78.26086956521739,15.0,25.0,20.0,15.0,25.0,100.0
2,5.0,2,0,400.0,300.0,100.0,,2.0,,,,,,0,7,72,72005,MOBIOKOUA,7,COMPARISON,4,1.0,,,,,0,2,5,,,,,8.0,8.0,,,,1,1.0,,,,2,2,,,,2.0,0.0,,,,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,41.0,1.0,0.0,80.0,50.0,50.0,0.0,0.0,0.0,100.0
9,0.5,6,6,480.0,320.0,160.0,320.0,1.0,,,,,1000.0,1,5,51,51029,Assakro,5,RESTORE,4,1.0,,,,,0,5,4,,,,,1.0,,,,,1,,,,,11,,,,,0.0,,,,,3,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,53.0,1.0,0.0,960.0,0.0,0.0,100.0,0.0,0.0,100.0
7,4.5,2,0,600.0,400.0,200.0,,2.0,,,,,,1,4,41,41015,TAOULOKE,4,COMPARISON,0,2.0,,,,,0,4,5,5,,,,2.0,2.0,,,,4,4.0,,,,,2,,,,2.0,2.0,,,,2,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,34.0,,0.0,133.33333333333334,40.625,59.375,0.0,0.0,0.0,100.0
10,5.0,1,10,540.0,400.0,140.0,,1.0,,,,,,0,7,71,71001,Annépé,7,COMPARISON,4,1.0,,,,,0,2,5,,,,,1.0,,,,,1,1.0,,,,,97,,,,0.0,0.0,,,,5,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,45.0,4.0,1.0,108.0,100.0,0.0,0.0,0.0,0.0,100.0
10,4.0,4,10,60.0,45.0,15.0,,1.0,,,,,,0,7,71,54002,Bécédi-Brignan,7,RESTORE,4,1.0,,,,,0,5,97,,,,,1.0,1.0,,,,1,1.0,,,,,97,,,,0.0,0.0,,,,8,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,44.0,5.0,1.0,15.0,20.0,30.0,20.0,30.0,0.0,100.0
6,6.5,2,10,600.0,400.0,200.0,,,,,,,,0,4,41,41037,IRATO,4,COMPARISON,2,3.0,,,,,0,4,5,,,,,1.0,1.0,1.0,1.0,,1,1.0,1.0,1.0,,,,,97,,0.0,0.0,0.0,3.0,,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,51.0,2.0,1.0,92.3076923076923,0.0,100.0,0.0,0.0,0.0,100.0
10,10.75,6,0,1105.0,650.0,455.0,,1.0,,,,,,0,6,61,61001,Abongoua,6,RESTORE,1,2.0,,,,,0,5,5,,,,,8.0,,,,,1,,,,,,,,,,0.0,,,,,6,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,69.0,,1.0,102.7906976744186,15.0,15.0,15.0,40.0,15.0,100.0
9,4.5,4,6,2040.0,1200.0,840.0,1200.0,,,,,,1000.0,0,4,41,41004,FETE,4,COMPARISON,0,1.0,,,,,0,3,5,5,,,,8.0,8.0,,,,4,4.0,,,,97,,,,,0.0,0.0,,,,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,37.0,,0.0,453.3333333333333,20.555555555555554,52.77777777777778,26.666666666666668,0.0,0.0,100.0
4,4.0,6,0,280.0,210.0,70.0,210.0,3.0,,,,,1000.0,0,5,51,51025,Kouadiokro,5,RESTORE,4,1.0,,,,,1,5,5,,,,,1.0,1.0,,,,1,1.0,,,,,,,,,2.0,2.0,,,,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,78.0,,0.0,70.0,0.0,0.0,0.0,100.0,0.0,100.0
3,6.0,5,0,340.0,340.0,0.0,340.0,2.0,,,,,11.764705657958984,0,5,51,51018,Kouassi-Béniékro,5,RESTORE,4,1.0,,,,,1,6,4,,,,,10.0,,,,,1,,,,,,,,,,0.0,,,,,4,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,60.0,1.0,1.0,56.66666666666666,0.0,0.0,40.0,60.0,0.0,100.0
6,6.0,3,0,900.0,600.0,300.0,,1.0,,,,,,0,7,74,74003,BOHOUIN,7,COMPARISON,4,1.0,,,,,0,5,97,,,,,,,1.0,,,1,1.0,1.0,,,,,97,,,2.0,0.0,0.0,,,4,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,34.0,4.0,1.0,150.0,50.0,25.0,25.0,0.0,0.0,100.0
6,5.0,6,10,227.0,200.0,27.0,,1.0,,,,,,0,7,71,71001,Annépé,7,COMPARISON,4,1.0,,,,,0,5,5,,,,,1.0,1.0,,,,1,1.0,,,,,97,,,,0.0,0.0,,,,4,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,42.0,5.0,1.0,45.4,0.0,25.0,0.0,75.0,0.0,100.0
8,1.0,2,6,20.0,12.0,8.0,,6.0,,,,,,0,5,51,51047,Bossematié,5,COMPARISON,4,1.0,,,,,1,5,4,,,,,5.0,,,,,1,,,,,,,,,,2.0,,,,,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,43.0,6.0,0.0,20.0,0.0,100.0,0.0,0.0,0.0,100.0
4,3.5,3,0,900.0,600.0,300.0,,2.0,,,,,,0,4,41,41020,MAHINO2,4,RESTORE,0,2.0,,,,,0,3,2 5,5,,,,8.0,6.0,,,,4,4.0,,,,,97,,,,2.0,0.0,,,,2,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,39.0,1.0,0.0,257.1428571428572,0.0,40.54054054054054,59.45945945945946,0.0,0.0,100.0
7,4.5,2,7,610.0,377.0,233.0,,1.0,,,,,,0,4,41,41006,TATE2,4,COMPARISON,2,1.0,,,,,0,6,5,,,,,1.0,,,,,1,,,,,,,,,,0.0,,,,,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,38.0,,1.0,135.55555555555554,33.0,67.0,0.0,0.0,0.0,100.0
5,3.5,4,97,1440.0,880.0,560.0,880.0,97.0,,,,,1000.0,0,7,73,73005,Ahéoua,7,COMPARISON,4,3.0,,,,,0,5,5,,,,,10.0,,,,,1,,,,,97,,,,,3.0,,,,,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,68.0,5.0,1.0,411.4285714285714,5.0,20.0,75.0,0.0,0.0,100.0
9,5.0,5,0,480.0,300.0,180.0,300.0,1.0,,,,,1000.0,1,5,51,51025,Kouadiokro,5,RESTORE,0,2.0,,,,,0,7,4 5,,4 5,,,11.0,5.0,10.0,,,1,1.0,1.0,,,,9,,,,2.0,2.0,2.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51.0,1.0,1.0,96.0,25.0,25.624999999999996,31.874999999999996,17.5,0.0,100.0
